date,action,price,capital_before,capital_after,invested_amount,shares_before,shares_after,avg_cost_before,avg_cost_after
2024-07-18,BUY_TRANCHE_2,3.8479,2566798.26,0.0,2566798.26,642368.6997,1309430.5112,3.9958,3.9205
2024-07-26,ALERT_MA60,3.4333,0.0,0.0,0.0,1309430.5112,1309430.5112,3.9205,3.9205
2025-09-12,SELL_ALL,4.2479,280000.0,5842351.69,-5562351.69,1309430.5112,0.0,3.9205,0.0
2025-09-26,BUY_TRANCHE_1,4.3104,5842351.69,2921175.85,2921175.85,0.0,677701.5013,0.0,4.3104
2025-10-03,SELL_ALL,4.6771,2941175.85,6110842.24,-3169666.4,677701.5013,0.0,4.3104,0.0
2025-10-13,BUY_TRANCHE_1,4.7417,6110842.24,3055421.12,3055421.12,0.0,644377.0379,0.0,4.7417
2025-10-27,SELL_ALL,5.1708,3055421.12,6387387.39,-3331966.27,644377.0379,0.0,4.7417,0.0
2025-11-03,BUY_TRANCHE_1,5.2042,6407387.39,3203693.69,3203693.69,0.0,615601.6706,0.0,5.2042
2025-11-07,BUY_TRANCHE_2,4.9833,3203693.69,0.0,3203693.69,615601.6706,1258483.3484,5.2042,5.0914
2025-11-21,ALERT_MA60,4.5542,0.0,0.0,0.0,1258483.3484,1258483.3484,5.0914,5.0914
2026-01-02,SELL_ALL,5.5708,40000.0,7050800.99,-7010800.99,1258483.3484,0.0,5.0914,0.0
2026-01-09,BUY_TRANCHE_1,5.9417,7050800.99,3525400.49,3525400.49,0.0,593335.2864,0.0,5.9417
2026-01-19,SELL_ALL,6.4333,3525400.49,7342524.17,-3817123.68,593335.2864,0.0,5.9417,0.0
2026-01-21,BUY_TRANCHE_1,6.2896,7342524.17,3671262.08,3671262.08,0.0,583705.1343,0.0,6.2896
2026-01-28,SELL_ALL,6.8688,3671262.08,7680586.73,-4009324.64,583705.1343,0.0,6.2896,0.0
2026-01-30,BUY_TRANCHE_1,6.6063,7680586.73,3840293.36,3840293.36,0.0,581312.1458,0.0,6.6063
2026-02-06,BUY_TRANCHE_2,6.3688,3860293.36,0.0,3860293.36,581312.1458,1187442.6051,6.6063,6.485
2026-02-11,SELL_ALL,7.2062,0.0,8557008.27,-8557008.27,1187442.6051,0.0,6.485,0.0
2026-03-03,BUY_TRANCHE_1,7.4396,8577008.27,4288504.14,4288504.14,0.0,576444.1293,0.0,7.4396
2026-03-04,BUY_TRANCHE_2,6.7792,4288504.14,0.0,4288504.14,576444.1293,1209044.6165,7.4396,7.094
2026-03-30,ALERT_MA60,6.5396,0.0,0.0,0.0,1209044.6165,1209044.6165,7.094,7.094
2026-04-10,SELL_ALL,7.725,20000.0,9359869.66,-9339869.66,1209044.6165,0.0,7.094,0.0
2026-04-30,BUY_TRANCHE_1,9.3396,9359869.66,4679934.83,4679934.83,0.0,501086.0404,0.0,9.3396
2026-05-04,SELL_ALL,10.1417,4699934.83,9781782.42,-5081847.59,501086.0404,0.0,9.3396,0.0
2026-05-12,BUY_TRANCHE_1,10.6125,9781782.42,4890891.21,4890891.21,0.0,460861.3627,0.0,10.6125
2026-05-19,BUY_TRANCHE_2,9.7917,4890891.21,0.0,4890891.21,460861.3627,960356.6355,10.6125,10.1856
2026-05-25,SELL_ALL,11.4771,0.0,11022093.14,-11022093.14,960356.6355,0.0,10.1856,0.0
2026-06-05,BUY_TRANCHE_1,12.1479,11042093.14,5521046.57,5521046.57,0.0,454485.0544,0.0,12.1479
2026-06-08,BUY_TRANCHE_2,11.1188,5521046.57,0.0,5521046.57,454485.0544,951037.8655,12.1479,11.6106
2026-06-18,SELL_ALL,12.7812,0.0,12155452.72,-12155452.72,951037.8655,0.0,11.6106,0.0
2026-06-24,BUY_TRANCHE_1,12.675,12155452.72,6077726.36,6077726.36,0.0,479505.0382,0.0,12.675
2026-06-26,BUY_TRANCHE_2,11.6813,6077726.36,0.0,6077726.36,479505.0382,999802.6398,12.675,12.1579
