date,close
2018-10-01,14.23
2018-10-02,13.9
2018-10-03,13.84
2018-10-04,13.48
2018-10-05,13.03
2018-10-08,12.91
2018-10-09,12.95
2018-10-11,10.96
2018-10-12,11.68
2018-10-15,11.39
2018-10-16,11.56
2018-10-17,11.6
2018-10-18,11.48
2018-10-19,11.51
2018-10-22,11.59
2018-10-23,11.14
2018-10-24,11.09
2018-10-25,10.54
2018-10-26,10.46
2018-10-29,10.54
2018-10-30,10.6
2018-10-31,11.04
2018-11-01,11.23
2018-11-02,11.36
2018-11-05,11.23
2018-11-06,11.17
2018-11-07,11.37
2018-11-08,11.51
2018-11-09,11.22
2018-11-12,11.28
2018-11-13,11.07
2018-11-14,11.17
2018-11-15,11.22
2018-11-16,11.22
2018-11-19,11.24
2018-11-20,11.08
2018-11-21,11.1
2018-11-22,11.1
2018-11-23,10.98
2018-11-26,11.16
2018-11-27,11.08
2018-11-28,11.43
2018-11-29,11.52
2018-11-30,11.5
2018-12-03,12.02
2018-12-04,11.82
2018-12-05,11.44
2018-12-06,10.93
2018-12-07,11.15
2018-12-10,10.83
2018-12-11,10.96
2018-12-12,11.27
2018-12-13,11.33
2018-12-14,11.07
2018-12-17,11.23
2018-12-18,11.06
2018-12-19,11.16
2018-12-20,10.9
2018-12-21,10.95
2018-12-24,10.87
2018-12-25,10.59
2018-12-26,10.66
2018-12-27,10.92
2018-12-28,10.92
2019-01-02,10.68
2019-01-03,10.49
2019-01-04,10.33
2019-01-07,10.77
2019-01-08,10.77
2019-01-09,11.13
2019-01-10,11.05
2019-01-11,11.18
2019-01-14,11.0
2019-01-15,11.26
2019-01-16,11.23
2019-01-17,11.24
2019-01-18,11.35
2019-01-21,11.47
2019-01-22,11.38
2019-01-23,11.33
2019-01-24,11.42
2019-01-25,11.7
2019-01-28,11.78
2019-01-29,11.53
2019-01-30,11.58
2019-02-11,11.76
2019-02-12,11.93
2019-02-13,11.92
2019-02-14,11.92
2019-02-15,11.85
2019-02-18,12.1
2019-02-19,12.09
2019-02-20,12.29
2019-02-21,12.45
2019-02-22,12.4
2019-02-25,12.6
2019-02-26,12.58
2019-02-27,12.6
2019-03-04,12.52
2019-03-05,12.36
2019-03-06,12.5
2019-03-07,12.37
2019-03-08,12.23
2019-03-11,12.24
2019-03-12,12.6
2019-03-13,12.51
2019-03-14,12.48
2019-03-15,12.71
2019-03-18,12.87
2019-03-19,12.95
2019-03-20,12.94
2019-03-21,13.1
2019-03-22,13.22
2019-03-25,12.77
2019-03-26,12.98
2019-03-27,12.97
2019-03-28,12.93
2019-03-29,13.1
2019-04-01,13.29
2019-04-02,13.39
2019-04-03,13.42
2019-04-08,13.59
2019-04-09,13.75
2019-04-10,13.82
2019-04-11,13.65
2019-04-12,13.65
2019-04-15,13.85
2019-04-16,13.96
2019-04-17,14.14
2019-04-18,14.14
2019-04-19,14.11
2019-04-22,14.2
2019-04-23,14.2
2019-04-24,14.2
2019-04-25,14.28
2019-04-26,14.0
2019-04-29,14.04
2019-04-30,13.97
2019-05-02,14.12
2019-05-03,14.25
2019-05-06,13.82
2019-05-07,14.17
2019-05-08,13.97
2019-05-09,13.58
2019-05-10,13.4
2019-05-13,13.1
2019-05-14,13.0
2019-05-15,13.1
2019-05-16,12.9
2019-05-17,12.77
2019-05-20,12.72
2019-05-21,12.91
2019-05-22,12.82
2019-05-23,12.5
2019-05-24,12.57
2019-05-27,12.45
2019-05-28,12.52
2019-05-29,12.43
2019-05-30,12.62
2019-05-31,12.89
2019-06-03,12.79
2019-06-04,12.74
2019-06-05,12.89
2019-06-06,12.6
2019-06-10,13.0
2019-06-11,13.17
2019-06-12,13.18
2019-06-13,13.01
2019-06-14,12.95
2019-06-17,13.08
2019-06-18,13.04
2019-06-19,13.57
2019-06-20,13.64
2019-06-21,13.75
2019-06-24,13.8
2019-06-25,13.56
2019-06-26,13.51
2019-06-27,13.77
2019-06-28,13.65
2019-07-01,14.06
2019-07-02,14.04
2019-07-03,13.81
2019-07-04,13.95
2019-07-05,13.98
2019-07-08,13.79
2019-07-09,13.79
2019-07-10,14.03
2019-07-11,14.24
2019-07-12,14.23
2019-07-15,14.32
2019-07-16,14.35
2019-07-17,14.26
2019-07-18,14.22
2019-07-19,14.48
2019-07-22,14.5
2019-07-23,14.53
2019-07-24,14.58
2019-07-25,14.63
2019-07-26,14.57
2019-07-29,14.5
2019-07-30,14.51
2019-07-31,14.39
2019-08-01,14.2
2019-08-02,13.71
2019-08-05,13.45
2019-08-06,13.4
2019-08-07,13.3
2019-08-08,13.62
2019-08-12,13.67
2019-08-13,13.35
2019-08-14,13.67
2019-08-15,13.26
2019-08-16,13.51
2019-08-19,13.74
2019-08-20,13.85
2019-08-21,13.87
2019-08-22,13.86
2019-08-23,13.79
2019-08-26,13.52
2019-08-27,13.5
2019-08-28,13.68
2019-08-29,13.65
2019-08-30,14.09
2019-09-02,14.18
